,success_rate,agent,thinking_steps
0,0.0,1m,0
1,0.0,2m,0
2,0.0,3m,0
3,0.0,4m,0
4,0.0,5m,0
5,0.0,6m,0
6,0.2,7m,0
7,0.0,8m,0
8,0.0,9m,0
9,0.0,10m,0
10,0.0,11m,0
11,0.2,12m,0
12,0.2,13m,0
13,0.2,14m,0
14,0.2,15m,0
15,0.2,16m,0
16,0.0,17m,0
17,0.0,18m,0
18,0.2,19m,0
19,0.2,20m,0
20,0.4,21m,0
21,0.2,22m,0
22,0.2,23m,0
23,0.2,24m,0
24,0.2,25m,0
25,0.0,26m,0
26,0.4,27m,0
27,0.4,28m,0
28,0.4,29m,0
29,0.6,30m,0
30,0.2,31m,0
31,0.2,32m,0
32,0.6,33m,0
33,0.8,34m,0
34,0.4,35m,0
35,0.4,36m,0
36,0.2,37m,0
37,0.4,38m,0
38,0.2,39m,0
39,0.2,40m,0
40,0.2,41m,0
41,0.8,42m,0
42,0.2,43m,0
43,0.4,44m,0
44,0.2,45m,0
45,0.2,46m,0
46,0.2,47m,0
47,0.6,48m,0
48,0.4,49m,0
49,0.4,50m,0
50,0.0,1m,5
51,0.0,2m,5
52,0.0,3m,5
53,0.0,4m,5
54,0.0,5m,5
55,0.0,6m,5
56,0.2,7m,5
57,0.0,8m,5
58,0.0,9m,5
59,0.0,10m,5
60,0.0,11m,5
61,0.2,12m,5
62,0.0,13m,5
63,0.0,14m,5
64,0.2,15m,5
65,0.2,16m,5
66,0.0,17m,5
67,0.0,18m,5
68,0.2,19m,5
69,0.2,20m,5
70,0.4,21m,5
71,0.2,22m,5
72,0.4,23m,5
73,0.2,24m,5
74,0.2,25m,5
75,0.0,26m,5
76,0.4,27m,5
77,0.2,28m,5
78,0.4,29m,5
79,0.6,30m,5
80,0.2,31m,5
81,0.4,32m,5
82,0.6,33m,5
83,0.8,34m,5
84,0.6,35m,5
85,0.6,36m,5
86,0.6,37m,5
87,0.4,38m,5
88,0.2,39m,5
89,0.4,40m,5
90,0.4,41m,5
91,0.8,42m,5
92,0.6,43m,5
93,0.4,44m,5
94,0.0,45m,5
95,0.2,46m,5
96,0.2,47m,5
97,0.6,48m,5
98,0.6,49m,5
99,0.6,50m,5
